data 0
774, 468, -414
776, 462, -410
776, 464, -414
775, 463, -421
777, 461, -421
777, 459, -421
776, 460, -421
775, 459, -423
775, 462, -418
779, 462, -417
779, 456, -417
778, 457, -419
778, 454, -425
779, 451, -425
780, 452, -426
778, 452, -425
780, 449, -426
779, 452, -421
781, 453, -423
779, 454, -422
779, 452, -417
780, 453, -414
780, 456, -417
780, 455, -415
779, 455, -417
780, 457, -417
781, 456, -423
782, 447, -419
783, 449, -420
782, 446, -426
781, 447, -421
783, 444, -427
784, 444, -427
783, 446, -432
783, 446, -431
784, 447, -428
785, 444, -419
788, 436, -396
788, 434, -403
789, 430, -417
790, 433, -423
787, 440, -429
787, 442, -430
785, 443, -429
785, 444, -428
785, 445, -423
785, 448, -421
785, 451, -420
785, 449, -414
786, 445, -414
789, 442, -413
788, 439, -416
790, 435, -404
791, 436, -398
790, 439, -396
786, 446, -406
784, 451, -414
783, 455, -423
784, 452, -420
785, 448, -414
785, 449, -415
786, 445, -414
785, 447, -417
787, 452, -418
787, 451, -419
788, 445, -414
788, 446, -410
787, 445, -409
788, 454, -411
786, 454, -412
787, 452, -409
786, 453, -412
786, 453, -405
786, 451, -403
786, 452, -395
788, 451, -407
787, 455, -414
787, 454, -407
788, 451, -408
788, 452, -412
786, 449, -407
785, 451, -402
786, 455, -401
787, 452, -395
787, 454, -402
787, 453, -406
786, 456, -416
785, 458, -408
784, 458, -409
785, 460, -406
783, 458, -409
785, 457, -410
785, 457, -410
787, 450, -407
788, 445, -407
790, 447, -407
787, 448, -403
788, 454, -404
785, 456, -409
782, 458, -415
783, 459, -415
784, 459, -416
784, 455, -410
785, 452, -410
785, 449, -409
785, 450, -410
785, 455, -410
781, 461, -391
783, 456, -433
786, 455, -416
781, 452, -417
782, 464, -415
783, 461, -413
784, 461, -413
783, 460, -409
785, 458, -399
data 6
517, -765, -359
550, -785, -263
428, -765, -668
478, -793, -267
523, -761, -343
507, -774, -468
499, -767, -410
496, -776, -425
491, -779, -430
490, -781, -405
494, -776, -389
500, -769, -414
507, -766, -402
516, -759, -357
520, -752, -368
517, -757, -387
513, -763, -385
516, -758, -401
506, -762, -466
530, -772, -363
535, -740, -244
531, -747, -362
522, -755, -407
521, -753, -385
522, -756, -391
515, -761, -399
518, -760, -396
517, -758, -410
521, -757, -409
517, -755, -404
518, -757, -415
523, -753, -409
528, -747, -394
528, -747, -372
532, -742, -368
532, -743, -383
526, -746, -404
517, -756, -415
510, -761, -422
509, -764, -427
507, -765, -470
519, -753, -373
529, -749, -367
520, -753, -413
524, -749, -401
533, -744, -375
524, -751, -418
512, -759, -424
514, -760, -414
521, -752, -396
528, -746, -376
532, -743, -376
536, -740, -373
540, -741, -365
537, -742, -380
526, -747, -396
524, -750, -392
517, -756, -398
515, -758, -399
518, -756, -396
521, -752, -404
521, -752, -404
520, -753, -396
515, -757, -404
514, -758, -398
518, -755, -406
520, -752, -402
523, -750, -384
521, -750, -380
517, -753, -386
512, -758, -398
508, -765, -409
507, -765, -415
506, -764, -416
510, -761, -408
519, -753, -402
525, -750, -392
528, -746, -370
527, -747, -369
520, -751, -384
516, -753, -389
517, -754, -387
514, -756, -395
518, -756, -409
520, -753, -407
521, -751, -402
513, -758, -414
512, -759, -404
514, -758, -393
512, -761, -396
511, -760, -402
513, -758, -397
518, -755, -391
521, -753, -386
519, -753, -387
519, -752, -395
516, -755, -400
517, -752, -392
521, -752, -388
516, -757, -394
514, -762, -401
513, -761, -397
517, -755, -393
517, -755, -395
517, -754, -389
517, -756, -387
518, -755, -401
514, -759, -398
515, -758, -399
518, -756, -404
523, -752, -394
522, -751, -386
522, -753, -392
516, -756, -388
514, -759, -389
515, -757, -394
517, -758, -400
521, -751, -398
526, -747, -392
526, -748, -388
526, -748, -390
527, -749, -393
523, -751, -392
522, -752, -393
523, -752, -402
525, -751, -394
524, -751, -392
519, -756, -406
523, -752, -402
525, -749, -390
530, -745, -391
528, -749, -392
529, -748, -392
528, -750, -397
525, -753, -403
525, -753, -399
524, -750, -384
523, -754, -385
522, -754, -391
525, -754, -392
525, -753, -387
525, -753, -379
524, -751, -385
524, -753, -381
524, -753, -374
526, -751, -378
524, -754, -390
529, -749, -391
532, -748, -388
534, -743, -382
536, -745, -397
531, -747, -406
527, -751, -410
530, -746, -409
535, -743, -402
540, -740, -394
536, -742, -395
534, -743, -393
531, -747, -399
535, -744, -389
540, -739, -379
536, -744, -389
532, -747, -393
534, -745, -386
535, -744, -387
533, -745, -388
527, -753, -384
523, -755, -384
523, -752, -378
519, -757, -402
520, -759, -404
519, -758, -402
520, -756, -409
532, -747, -405
541, -739, -385
545, -734, -381
543, -734, -383
538, -740, -387
530, -748, -409
531, -747, -415
531, -746, -426
538, -745, -406
547, -734, -386
548, -734, -394
549, -735, -410
540, -737, -396
530, -749, -412
534, -751, -392
529, -754, -357
534, -752, -355
534, -751, -361
533, -753, -363
529, -757, -370
529, -754, -369
534, -752, -365
535, -749, -377
541, -746, -371
543, -741, -382
data 7
