data
5, 10
24, 2
15, 11
22, 2
15, 7
16, 8
18, 6
14, 6
15, 4
12, 7
22, 14
9, 0
14, 5
11, 6
24, 22
7, 3
14, 7
16, 8
17, 7
15, 8
13, 8
12, 8
16, 5
16, 6
16, 9
16, 6
15, 6
15, 7
13, 7
data
0, -12
-10, -8
5, -18
2, -17
1, -14
0, -12
1, -9
-1, -8
0, -10
-1, -12
-20, -17
19, -7
2, -12
1, -11
0, -11
0, -14
0, -13
2, -14
2, -16
4, -14
3, -17
3, -15
5, -13
data
2, -14
12, -13
-6, -9
0, -11
0, -14
0, -13
0, -14
1, -13
1, -14
-2, -15
1, -14
3, -9
5, -24
-1, -17
1, -14
2, -13
2, -14
0, -13
0, -12
3, -15
-3, -10
2, -15
-2, -11
-3, -10
0, -17
-8, -14
-8, -16
2, -15
-1, -10
-1, -12
-1, -10
2, -14
0, -14
0, -13
0, -13
-4, -10
1, -14
0, -13
0, -13
-1, -14
0, -13
-1, -16
0, -17
0, -15
0, -13
0, -14
1, -13
0, -13
0, -16
1, -15
-3, -14
0, -13
0, -12
0, -11
0, -14
-2, -14
-1, -16
-1, -12
0, -15
0, -14
0, -13
0, -14
0, -13
0, -15
0, -13
0, -14
0, -14
0, -14
0, -14
0, -14
0, -14
-1, -14
1, -14
-2, -14
0, -13
0, -13
0, -13
0, -13
0, -13
-1, -13
0, -13
1, -16
-2, -13
0, -14
0, -14
-1, -14
0, -13
-1, -13
0, -14
0, -13
0, -14
0, -14
0, -13
0, -14
0, -14
0, -14
-1, -15
0, -13
0, -14
0, -13
0, -14
0, -14
0, -13
-1, -13
0, -14
0, -13
0, -14
0, -15
0, -14
0, -13
0, -13
0, -14
1, -14
0, -14
0, -14
0, -14
0, -13
0, -15
0, -13
-1, -15
-1, -14
0, -14
0, -14
0, -13
1, -13
0, -14
0, -13
0, -14
0, -14
-1, -13
1, -14
0, -14
-1, -14
0, -14
0, -13
0, -13
0, -13
0, -13
0, -15
0, -14
0, -14
-1, -14
0, -14
0, -14
0, -13
0, -14
0, -14
0, -14
0, -13
0, -13
0, -13
0, -13
0, -14
0, -14
0, -13
0, -13
0, -13
0, -14
0, -14
0, -13
0, -13
0, -13
0, -13
0, -13
0, -12
0, -14
0, -13
0, -13
0, -13
0, -14
-1, -14
1, -14
0, -13
0, -13
0, -14
0, -14
0, -14
0, -14
0, -13
0, -13
0, -14
0, -12
0, -15
0, -13
0, -14
0, -14
0, -14
0, -13
0, -13
0, -14
0, -13
0, -12
1, -14
0, -14
0, -13
0, -13
0, -14
0, -14
0, -15
0, -14
0, -13
0, -13
0, -14
0, -13
0, -13
0, -14
0, -14
0, -13
-1, -13
0, -13
data
-16, 2
-11, 4
-21, 7
-21, 6
-19, 5
-19, 3
-14, 6
-27, 3
-7, 5
-19, 1
-9, -3
-17, 6
-14, 3
-22, 6
-18, 6
-20, 6
-20, 6
-19, 5
-18, 4
-19, 6
-19, 5
-19, 5
-18, 6
-18, 5
-17, 5
-18, 4
-18, 5
-17, 4
-17, 5
-18, 4
-19, 5
-18, 4
-18, 5
-18, 4
-18, 5
-17, 5
-19, 4
-19, 5
-18, 4
-18, 3
-19, 5
-19, 4
-18, 5
-18, 5
-19, 4
-18, 5
-19, 4
-19, 4
-16, 5
-17, 5
-18, 4
-18, 6
-18, 4
-18, 5
-18, 5
-18, 4
-17, 4
-18, 3
-19, 5
-18, 5
-19, 5
-18, 5
-19, 5
-18, 4
-17, 4
-17, 5
-18, 4
-17, 4
-19, 5
-17, 5
-18, 5
-18, 4
-16, 4
-18, 4
-18, 5
-19, 5
-17, 6
-18, 6
-18, 5
-17, 5
-18, 4
-18, 4
-18, 4
-19, 6
-18, 5
-18, 4
-17, 5
-18, 4
-17, 3
-18, 4
-19, 5
-18, 4
-18, 5
-17, 5
